trialType,item,item_pt,length,syllables,node,fnode,knode,coll,fcoll,kcoll,fitem,logDice,MI,k,fitempt,,,
target,bend rules,dobrar regras,9,2,bend,"433,802",2,rules,"4,509,077",1,2541,6.1,4.83,1,0,,,
baseline,bend coal,dobrar carvão,8,2,bend,"433,802",2,coal,"4,509,077",1,2,6.1,-5.48,2,0,,,
target,break windows,quebrar janelas,12,3,break,"3,741,818",1,windows,"3,968,460",1,"9,753",8.14,3.85,3,48,,,
baseline,break jokes,quebrar piadas,10,2,break,"3,741,818",1,jokes,"3,968,460",1,7,8.14,-6.6,4,0,,,
target,bring peace,trazer paz,10,2,bring,"8,820,987",1,peace,"1,773,706",2,20605,7.55,4.85,5,3516,,,
baseline,bring boundaries,trazer fronteiras,15,3,bring,"8,820,987",1,boundaries,"1,773,706",2,9,7.55,-6.31,1,0,,,
target,build houses,construir casa,11,3,build,"8,137,945",1,houses,"5,281,006",1,"72,980",9.1,5.22,2,13162,,,
baseline,build secrets,construir segredos,12,2,build,"8,137,945",1,secrets,"5,281,006",1,21,9.1,-6.54,3,0,,,
target,burn coal,queimar carvão,8,2,burn,"1,082,445",1,coal,"626,842",2,"8,334",8.96,8.07,4,190,,,
baseline,burn smells,queimar cheiros,10,2,burn,"1,082,445",1,smells,"626,842",2,19,8.96,-0.7,5,0,,,
target,buy tickets,comprar bilhetes,10,3,buy,"5,173,981",1,tickets,"1,386,678",2,"65,311",9.3,7.64,1,2935,,,
baseline,buy blame,comprar culpa,8,2,buy,"5,173,981",1,blame,"1,386,678",2,7,9.3,-5.55,2,0,,,
target,catch fire,pegar fogo,9,2,catch,"2,189,135",1,fire,"2,771,632",1,"29,614",9.26,6.74,3,10218,,,
baseline,catch bills,apanhar contas,10,2,catch,"2,189,135",1,bills,"2,771,632",1,4,9.26,-6.11,4,0,,,
target,chase dreams,perseguir sonhos,11,2,chase,"322,773",2,dreams,"1,677,944",1,"5,327",8.11,7.75,5,0,,,
baseline,chase houses,perseguir casas,11,3,chase,"322,773",2,houses,"1,677,944",1,8,8.11,-1.63,1,0,,,
target,crack jokes ,rachar piadas,11,2,crack,"351,064",2,jokes,"444,212",1,3225,9.53,8.82,2,0,,,
baseline,crack promises,rachar compromissos,13,4,crack,"351,064",2,promises,444212,1,0,9.53,NA,3,0,,,
target,cross rivers,atravesar rios,11,3,cross,"1,233,840",1,rivers,"1,609,013",1,"11,389",9.39,6.97,4,4104,,,
baseline,cross costs,atravesar gastos,10,2,cross,"1,233,840",1,costs,"1,609,013",1,28,9.39,-1.69,5,0,,,
target,cut costs,cortar gastos,8,2,cut,"2,952,595",1,costs,"6,962,865",1,"29,210",8.84,4.96,1,1769,,,
baseline,cut fire,cortar fogo,7,2,cut,"2,952,595",1,fire,"6,962,865",1,85,8.84,-3.46,2,0,,,
target,drink beer,beber cerveja,9,2,drink,"1,073,722",1,beer,"805,681",2,"10,631",10.04,8.07,3,3862,,,
baseline,drink books,beber livros,10,2,drink,"1,073,722",1,books,"805,681",2,34,10.04,-0.21,4,0,,,
target,drive growth,dirigir crescimento,11,2,drive,"3,990,724",1,growth,"4,204,306",1,"38,996",8.66,5.67,5,0,,,
baseline,drive doors,dirigir portas,10,2,drive,"3,990,724",1,doors,"4,204,306",1,30,8.66,-4.67,1,0,,,
target,drop hints,largar pistas,9,2,drop,"1,954,153",1,hints,"393,353",3,2161,7.52,5.95,2,0,,,
baseline,drop growth,largar crescimento,10,2,drop,"1,954,153",1,growth,"393,353",3,35,7.52,0,3,0,,,
target,earn trust,ganhar confiança,9,2,earn,"1,776,175",2,trust,"1,107,410",1,5380,7.59,5.91,4,5026,,,
baseline,earn dishes,ganhar loiças,10,3,earn,"1,776,175",2,dishes,"1,107,410",1,0,7.59,NA,5,0,,,
target,eat fish,comer peixe,7,2,eat,"3,391,832",1,fish,"1,755,161",1,"20,725",8.46,6.25,1,2556,,,
baseline,eat trust,comer confiança,8,2,eat,"3,391,832",1,trust,"1,755,161",1,8,8.46,-5.08,2,0,,,
target,enter contests,entrar concursos,13,3,enter,"3,886,661",1,contests,"599,509",3,7870,7.44,6.21,3,0,,,
baseline,enter flags,entrar bandeiras,10,3,enter,"3,886,661",1,flags,"599,509",3,2,7.44,-5.73,4,0,,,
target,feel pain,sentir dor,8,2,feel,"9,878,659",1,pain,"2,805,541",1,"21,536",8.99,4.09,5,24152,,,
baseline,feel tickets,sentir bilhetes,11,3,feel,"9,878,659",1,tickets,"2,805,541",1,3,8.99,-8.72,1,0,,,
target,fight poverty,combater pobreza,12,4,fight,"2,257,896",1,poverty,"784,669",3,"5,538",7.59,6.1,2,0,,,
baseline,fight accounts,combater contas,13,3,fight,"2,257,896",1,accounts,"784,669",3,4,7.59,-4.34,3,0,,,
target,fly flags,voar bandeiras,8,2,fly,"1,645,632",1,flags,"804,940",2,"8,197",8.62,7.08,4,0,,,
baseline,fly kids,voar crianças,7,2,fly,"1,645,632",1,kids,"804,940",2,47,8.62,-0.36,5,0,,,
target,foot bills,custear bilhetes,9,2,foot,"46,707",1,bills,"2,092,414",1,7659,8.85,10.75,1,0,,,
baseline,foot minds,custear mentes,9,2,foot,"46,707",1,minds,"2,092,414",1,0,8.85,NA,2,0,,,
target,freeze accounts,congelar contas,14,3,freeze,"408,661",1,accounts,"4,515,041",2,"1,846",6.64,4.46,3,182,,,
baseline,freeze power,congelar poder,11,3,freeze,"408,661",1,power,"4,515,041",2,30,6.64,-1.49,4,0,,,
target,hear sounds,ouvir sons,10,2,hear,"5,410,767",1,sounds,"2,200,139",1,"21,598",9.16,5.31,5,6491,,,
baseline,hear habit,ouvir hábitos,9,3,hear,"5,410,767",1,habit,"2,200,139",1,2,9.16,-8.08,1,0,,,
target,hide secrets,esconder segredos,11,3,hide,"1,191,741",1,secrets,"709,566",2,2892,7.86,6.23,2,1134,,,
baseline,hide songs,esconder canções,9,2,hide,"1,191,741",1,songs,"709,566",2,9,7.86,-2.1,3,0,,,
target,hold meetings,agarrar reuniões,12,3,hold,"8,596,845",1,meetings,"3,796,808",1,174292,10.33,6.87,4,0,,,
baseline,hold poverty,agarrar pobreza,11,4,hold,"8,596,845",1,poverty,"3,796,808",1,14,10.33,-6.73,5,0,,,
target,keep promises,manter compromissos,12,4,keep,"11,071,432",1,promises,"1,017,910",1,16360,7.49,4.99,1,2307,,,
baseline,keep sounds,manter sons,10,2,keep,"11,071,432",1,sounds,"1,017,910",1,43,7.49,-3.58,2,0,,,
target,kick habit,chutar hábitos,9,3,kick,"761,424",1,habit,"788,402",2,2505,8.35,6.52,3,0,,,
baseline,kick love,chutar amor,8,2,kick,"761,424",1,love,"788,402",2,15,8.35,-0.87,4,0,,,
target,lift bans,levantar proibição,8,2,lift,"856,169",1,bans,"538,444",3,"9,939",9.91,8.88,5,181,,,
baseline,lift fish,levantar peixe,8,2,lift,"856,169",1,fish,"538,444",3,49,9.91,1.22,1,0,,,
target,lock doors,trancar portas,9,2,lock,"734,996",1,doors,"3,038,250",1,"17,657",9.72,7.44,2,1716,,,
baseline,lock rules,trancar regras,9,2,lock,"734,996",1,rules,"3,038,250",1,36,9.72,-1.5,3,0,,,
target,lose weight,perder peso,10,2,lose,"5,422,498",1,weight,"2,835,219",1,74300,10.17,6.73,4,11454,,,
baseline,lose goals,perder objetivos,9,2,lose,"5,422,498",1,goals,"2,835,219",1,53,10.17,-3.73,5,0,,,
target,mask smells,disfarçar cheiros,10,2,mask,"146,513",2,smells,"362,131",1,231,6.57,6.58,1,172,,,
baseline,mask time,disfarçar tempo,8,2,mask,"146,513",2,time,"362,131",1,45,6.57,4.22,2,0,,,
target,meet goals,encontrar objetivos,9,2,meet,"6,745,262",1,goals,"4,595,500",2,57372,9.02,5.34,3,0,,,
baseline,meet peace,encontrar paz,9,2,meet,"6,745,262",1,peace,"4,595,500",2,42,9.02,-5.07,4,0,,,
target,pay taxes,pagar impostos,8,3,pay,"7,102,713",1,taxes,"4,365,418",1,"94,237",10.36,6.06,5,13156,,,
baseline,pay dreams,pagar sonhos,9,2,pay,"7,102,713",1,dreams,"4,365,418",1,2,10.36,-9.47,1,0,,,
target,push boundaries,empurrar fronteiras,14,3,push,"1,931,686",1,boundaries,"947,502",3,21371,10.13,8,2,0,,,
baseline,push contests,empurrar concursos,12,3,push,"1,931,686",1,contests,"947,502",3,7,10.13,-3.58,3,0,,,
target,raise doubts,levantar dúvidas,11,2,raise,"3,813,415",1,doubts,"1,222,052",1,6802,6.62,5,4,3168,,,
baseline,raise bans,levantar proibições,9,2,raise,"3,813,415",1,bans,"1,222,052",1,1,6.62,-7.73,5,0,,,
target,read minds,ler mentes,9,2,read,"9,276,207",1,minds,"4,646,532",1,"12,877",6.65,2.71,1,856,,,
baseline,read dogs,ler cães,8,2,read,"9,276,207",1,dogs,"4,646,532",1,71,6.65,-4.79,2,0,,,
target,sell books,vender livros,9,2,sell,"4,340,136",1,books,"10,153,008",1,"24,958",7.37,3.63,3,3490,,,
baseline,sell weight,vender peso,10,2,sell,"4,340,136",1,weight,"10,153,008",1,39,7.37,-5.69,4,0,,,
target,shift blame,deslocar culpa,10,2,shift,"848,429",2,blame,"645,134",2,2354,8.13,6.56,5,0,,,
baseline,shift hints,deslocar pistas,10,2,shift,"848,429",2,hints,"645,134",2,7,8.13,-1.83,1,0,,,
target,show love,mostrar amor,8,2,show,"13,781,511",1,love,"3,718,645",1,"17,175",7.3,2.88,2,1636,,,
baseline,show beer,mostrar cerveja,8,2,show,"13,781,511",1,beer,"3,718,645",1,54,7.3,-5.44,3,0,,,
target,sing songs,cantar canções ,9,2,sing,"1,043,798",1,songs,"2,828,167",1,"66,963",11.5,8.96,4,4635,,,
baseline,sing rivers,cantar rios,10,3,sing,"1,043,798",1,rivers,"2,828,167",1,5,11.5,-4.75,5,0,,,
target,take power,tomar poder,9,2,take,"32,494,126",1,power,"9,384,562",1,"19,929",5.56,0.52,1,4812,,,
baseline,take doubts,tomar dúvidas,10,2,take,"32,494,126",1,doubts,"9,384,562",1,12,5.56,-10.18,2,0,,,
target,teach kids,ensinar crianças,9,2,teach,"3,421,325",1,kids,"3,053,494",1,"26,187",8.48,5.78,3,5520,,,
baseline,teach meetings,ensinar reuniões,13,3,teach,"3,421,325",1,meetings,"3,053,494",1,8,8.48,-5.9,4,0,,,
target,walk dogs ,andar cães,9,2,walk,"3,471,332",1,dogs,"2,934,904",1,12059,8.96,4.7,5,2,,,
baseline,walk windows,andar janelas,11,3,walk,"3,471,332",1,windows,"2,934,904",1,5,8.96,-6.54,1,0,,,
target,wash dishes,limpar loiças,10,3,wash,"761,377",1,dishes,"901,307",2,"7,441",9.69,7.89,2,5098,,,
baseline,wash taxes,limpar impostos,9,3,wash,"761,377",1,taxes,"901,307",2,0,9.69,NA,3,0,,,
target,waste time,desperdiçar tempo,9,2,waste,"543,672",1,time,"40,497,079",1,63654,8.54,5.99,4,1659,,,
baseline,waste pain,desperdiçar dor,9,2,waste,"543,672",1,pain,"40,497,079",1,19,8.54,-5.72,5,0,,,
